dataset,ep1,ep2,ep4,ep8,ep12,ep16
Length1000Depth0_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth10_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth20_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth30_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth40_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth50_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth60_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth70_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth80_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth90_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth90_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length16000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length16000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length16000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length20000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length20000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length20000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length24000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length24000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length24000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length28000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length28000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length28000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length32000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length32000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length32000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length4000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length4000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length4000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length8000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length8000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth70_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth80_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth90_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length8000Depth90_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
