variant,num_trials,num_tasks,sink,window,heavy,tag,source_file,trial,task_id,reward,duration,termination_reason
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,0,1.0,271.5241782569792,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,1,1.0,402.18053668900393,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,3,0.0,155.71874465886503,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,2,0.0,535.0531075599138,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,5,1.0,236.89504691609181,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,4,1.0,449.2495349929668,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,6,1.0,359.7732852611225,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,7,0.0,285.01383556821384,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,8,0.0,295.79483824409544,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,10,1.0,215.33818528591655,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,11,0.0,309.8887542078737,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,12,0.0,435.6763764929492,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,14,0.0,76.36771567398682,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,9,0.0,802.460024530068,task_timeout
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,13,1.0,297.7279011430219,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,17,0.0,112.59317659400403,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,15,0.0,301.02731254394166,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,16,0.0,480.7726587210782,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,19,0.0,287.2376159930136,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,20,0.0,114.26506930799223,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,18,0.0,456.5484749500174,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,22,0.0,66.59866049117409,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,21,0.0,137.6220675809309,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,23,0.0,267.3145766251255,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,26,1.0,155.16006097989157,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,27,0.0,82.90650461590849,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,28,1.0,298.11231972207315,user_stop
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,25,0.0,728.1672568279319,max_steps
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,24,0.0,813.6241498938762,task_timeout
session_decay,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_session_decay_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,29,0.0,157.02705096104182,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,0,1.0,115.565916987136,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,1,1.0,146.50421682093292,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,2,0.0,149.9713499660138,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,4,1.0,89.8400558391586,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,3,0.0,128.21363150281832,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,6,1.0,195.71547314198688,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,7,0.0,285.1746226558462,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,5,1.0,383.1169648161158,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,10,1.0,106.68595364200883,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,8,0.0,216.93956330092624,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,12,0.0,94.21227513696067,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,11,0.0,130.99247728916816,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,9,0.0,310.58535811514594,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,14,0.0,117.14058299805038,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,13,1.0,170.889441562118,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,16,0.0,64.64509737188928,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,15,0.0,137.51330593111925,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,18,0.0,72.58124253409915,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,17,0.0,154.38410996692255,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,19,0.0,115.44661892601289,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,21,0.0,110.93581356480718,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,20,0.0,520.0063875920605,max_steps
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,23,0.0,380.92370580905117,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,22,0.0,637.8044839780778,max_steps
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,24,0.0,305.43966377014294,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,25,0.0,322.4514352499973,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,26,1.0,170.15134600386955,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,27,0.0,74.71178395021707,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,29,0.0,104.18262481619604,user_stop
stateless,1,30,4,256,64,0p8b_gpu567_20260407_190424,h2o_session_ablation_stateless_1x30_s4_w256_h64_0p8b_gpu567_20260407_190424.json,0,28,1.0,176.75861955899745,user_stop
